#,datetime_BKK,direction,type,qty,balance,refType,note
115,15/06/2569 21:31:15,OUT,ADJUST,-1,26,ITEM_QTY,
116,15/06/2569 21:31:17,OUT,ADJUST,-1,25,ITEM_QTY,
117,15/06/2569 21:31:27,OUT,ADJUST,-1,24,ITEM_QTY,
118,15/06/2569 21:32:48,OUT,ADJUST,-1,23,ITEM_QTY,
119,15/06/2569 21:32:51,OUT,ADJUST,-1,22,ITEM_QTY,
120,15/06/2569 21:44:22,OUT,ADJUST,-1,21,ITEM_QTY,
121,15/06/2569 21:44:24,OUT,ADJUST,-1,20,ITEM_QTY,
122,15/06/2569 21:44:24,OUT,ADJUST,-2,18,ITEM_QTY,
123,15/06/2569 21:44:28,OUT,ADJUST,-1,17,ITEM_QTY,
124,15/06/2569 21:44:32,OUT,ADJUST,-1,16,ITEM_QTY,
125,15/06/2569 21:44:35,OUT,ADJUST,-1,15,ITEM_QTY,
126,15/06/2569 21:44:51,OUT,ADJUST,-1,14,ITEM_QTY,
127,15/06/2569 21:44:53,OUT,ADJUST,-1,13,ITEM_QTY,
128,15/06/2569 21:44:55,OUT,ADJUST,-1,12,ITEM_QTY,
129,15/06/2569 21:44:58,OUT,ADJUST,-1,11,ITEM_QTY,
130,15/06/2569 22:05:13,OUT,ADJUST,-1,10,ITEM_QTY,
131,15/06/2569 22:05:16,OUT,ADJUST,-1,9,ITEM_QTY,
132,15/06/2569 22:05:17,OUT,ADJUST,-1,8,ITEM_QTY,
133,15/06/2569 22:05:19,OUT,ADJUST,-1,7,ITEM_QTY,
134,15/06/2569 22:05:20,OUT,ADJUST,-1,6,ITEM_QTY,
135,15/06/2569 22:05:21,OUT,ADJUST,-1,5,ITEM_QTY,
136,15/06/2569 22:05:25,OUT,ADJUST,-1,4,ITEM_QTY,
137,15/06/2569 22:05:27,OUT,ADJUST,-1,3,ITEM_QTY,
138,15/06/2569 22:05:31,OUT,ADJUST,-1,2,ITEM_QTY,
139,15/06/2569 22:05:32,OUT,ADJUST,-1,1,ITEM_QTY,
